name; price; room; size; unit; floor; address
1-pokojowe mieszkanie 44m2 + ogródek Bezpośrednio; Zapytaj o cenę; 1 pokój; 44.02 m²; parter; ; ul. Mangalia, Stegny, Mokotów, Warszawa, mazowieckie
Mieszkanie 3- pokoje 76 m2; 1 525 000 zł; 3 pokoje; 76.3 m²; 19 987 zł/m²; 2 piętro; ul. Cybernetyki, Służewiec, Mokotów, Warszawa, mazowieckie
Apartament 88m2 z pięknym widokiem; 1 900 000 zł; 3 pokoje; 88 m²; 21 591 zł/m²; 3 piętro; ul. Augustówka, Augustówka, Mokotów, Warszawa, mazowieckie
48,74 m2_2pok_stan deweloperski_Mokotów_Siekierki; 829 000 zł; 2 pokoje; 48.74 m²; 17 009 zł/m²; 2 piętro; ul. Polska 19D, Siekierki, Mokotów, Warszawa, mazowieckie
Atrakcyjna kawalerka w sercu Starego Mokotowa; 550 000 zł; 1 pokój; 28 m²; 19 643 zł/m²; 2 piętro; ul. Antoniego Józefa Madalińskiego, Stary Mokotów, Mokotów, Warszawa, mazowieckie
2 pokoje blisko metra - ul. Dąbrowskiego; 855 500 zł; 2 pokoje; 45 m²; 19 011 zł/m²; parter; Stary Mokotów, Mokotów, Warszawa, mazowieckie
Mieszkanie 41m2 Sadyba, Świetnie Skomunikowane; 690 000 zł; 2 pokoje; 41.3 m²; 16 707 zł/m²; 2 piętro; Sadyba, Mokotów, Warszawa, mazowieckie
2- pokojowe, nowoczesne, Nowy Służewiec 21; 1 185 000 zł; 2 pokoje; 53 m²; 22 358 zł/m²; 5 piętro; Służewiec, Mokotów, Warszawa, mazowieckie
apartament blisko lotniska, na sprzedaż  50 mkw; 1 190 000 zł; 2 pokoje; 50 m²; 23 800 zł/m²; 4 piętro; ul. Wynalazek, Służewiec, Mokotów, Warszawa, mazowieckie
4-pokojowe mieszkanie 83m2 + loggia; Zapytaj o cenę; 4 pokoje; 83.23 m²; 3 piętro; ; ul. Mangalia, Stegny, Mokotów, Warszawa, mazowieckie
3 pok. gotowe do wprowadzenia| widok na zieleń; 795 000 zł; 3 pokoje; 54 m²; 14 722 zł/m²; 1 piętro; ul. Gołkowska, Sadyba, Mokotów, Warszawa, mazowieckie
Na sprzedaż dwa pokoje 49,76 m2 ul. Cybernetyki; 1 070 000 zł; 2 pokoje; 49.76 m²; 21 503 zł/m²; 2 piętro; Służewiec, Mokotów, Warszawa, mazowieckie
2 pokoje 50,45 m2 ul. Tolkiena, 1300000 zł; 1 160 000 zł; 2 pokoje; 50.45 m²; 22 993 zł/m²; 4 piętro; Wyględów, Mokotów, Warszawa, mazowieckie
Nowe | Mokotów | 2 Pokoje | Winda | 2 Piętro; 599 000 zł; 2 pokoje; 32 m²; 18 719 zł/m²; 2 piętro; ul. Katalońska, Stegny, Mokotów, Warszawa, mazowieckie
2 Pokoje | Stary Mokotów | Metro | Gotowe | Bezpoś; 949 000 zł; 2 pokoje; 41.5 m²; 22 867 zł/m²; parter; al. Aleja Niepodległości, Stary Mokotów, Mokotów, Warszawa, mazowieckie
68 m2 w apartamentowcu przy metrze Wilanowska; 1 190 000 zł; 2 pokoje; 68 m²; 17 500 zł/m²; 7 piętro; Ksawerów, Mokotów, Warszawa, mazowieckie
4-pokojowe mieszkanie 71m2 + 2 loggie; Zapytaj o cenę; 4 pokoje; 71.17 m²; 3 piętro; ; ul. Komputerowa, Służewiec, Mokotów, Warszawa, mazowieckie
2-pokojowe mieszkanie 41m2 + balkon Bez Prowizji; 820 800 zł; 2 pokoje; 41.04 m²; 20 000 zł/m²; 2 piętro; ul. Powsińska, Sadyba, Mokotów, Warszawa, mazowieckie
2-pokojowe mieszkanie 55m2 + loggia Bez Prowizji; 977 725 zł; 2 pokoje; 55.87 m²; 17 500 zł/m²; 5 piętro; ul. Śródziemnomorska, Stegny, Mokotów, Warszawa, mazowieckie
Bezpośrednio - Metro Wierzbno - z pięknym widokiem; 539 000 zł; 1 pokój; 22 m²; 24 500 zł/m²; 5 piętro; ul. Broniwoja, Ksawerów, Mokotów, Warszawa, mazowieckie
Kamienica * Jasne * Wysokie * Ciche * Zielono * Kw; 799 000 zł; 2 pokoje; 46.13 m²; 17 321 zł/m²; 3 piętro; Sielce, Mokotów, Warszawa, mazowieckie
Małe mieszkanie przy Polu Mokotowskim Bezpośrednio; 599 000 zł; 1 pokój; 20 m²; 29 950 zł/m²; parter; ul. Kielecka 38, Stary Mokotów, Mokotów, Warszawa, mazowieckie
Piękne| MARINA MOKOTÓW |obok WUM |klimatyzacja|LUX; 1 439 777 zł; 2 pokoje; 48.68 m²; 29 576 zł/m²; ; Wyględów, Mokotów, Warszawa, mazowieckie
Świetne 3 pok. mieszkanie po remoncie na Mokotowie; 1 039 000 zł; 3 pokoje; 55 m²; 18 891 zł/m²; 10+ piętro; ul. Bernardyńska, Czerniaków, Mokotów, Warszawa, mazowieckie
4-pokojowe mieszkanie 100m2 + taras; 1 914 000 zł; 4 pokoje; 100.52 m²; 19 041 zł/m²; 1 piętro; ul. Domaniewska 24, Ksawerów, Mokotów, Warszawa, mazowieckie
Sprzedaż apartamentu z dwoma miejscami garażowymi; 1 699 000 zł; 3 pokoje; 70 m²; 24 271 zł/m²; 3 piętro; ul. Konstancińska 11 a, Sadyba, Mokotów, Warszawa, mazowieckie
Skanska Holm House SGH UW Łazarski Metro Garaż; 1 950 000 zł; 3 pokoje; 76 m²; 25 658 zł/m²; 1 piętro; ul. Mariana Zdziechowskiego, Sielce, Mokotów, Warszawa, mazowieckie
Mieszkanie na Stegnach-Mokotów, widok na fontanny; 999 000 zł; 2 pokoje; 42.5 m²; 23 506 zł/m²; 6 piętro; ul. Sardyńska, Stegny, Mokotów, Warszawa, mazowieckie
Dwupoziomowe 4 pokoje z klimatyzacją; 2 400 000 zł; 4 pokoje; 150 m²; 16 000 zł/m²; 2 piętro; ul. Władysława Pytlasińskiego, Sielce, Mokotów, Warszawa, mazowieckie
Mokotów - śliczna kawalerka dla singla lub pary; 710 000 zł; 1 pokój; 31 m²; 22 903 zł/m²; 2 piętro; ul. Cybernetyki, Służewiec, Mokotów, Warszawa, mazowieckie
